year,type_of_violence,conflict_name,dyad_name,side_a,side_b,latitude,longitude,best
1992,2,Republic of Croatia - Serbian Republic of Krajina,Republic of Croatia - Serbian Republic of Krajina,Republic of Croatia,Serbian Republic of Krajina,45.660833,18.418611,5
1999,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.5,21.116667,1
1998,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,43.409722,21.743056,0
1998,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.516667,20.25,0
1992,2,Republic of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina,Republic of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina,Republic of Bosnia-Herzegovina,Serbian Republic of Bosnia-Herzegovina,45.1375,17.989722,3
1998,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.516667,20.25,1
1991,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,45.288333,18.804722,3
1992,2,Republic of Croatia - Serbian Republic of Krajina,Republic of Croatia - Serbian Republic of Krajina,Republic of Croatia,Serbian Republic of Krajina,45.288333,18.804722,1
1991,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,45.343333,18.999722,1
1991,2,Republic of Croatia - SAO Krajina,Republic of Croatia - SAO Krajina,Republic of Croatia,SAO Krajina,45.355,16.052778,4
1991,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,45.288333,18.804722,3
1992,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,45.551111,18.693889,1
1991,2,Republic of Croatia - SAO Krajina,Republic of Croatia - SAO Krajina,Republic of Croatia,SAO Krajina,45.401111,16.287222,1
1999,3,Government of Serbia (Yugoslavia) - Civilians,Government of Serbia (Yugoslavia) - Civilians,Government of Serbia (Yugoslavia),Civilians,42.399444,20.654722,0
1999,3,Government of Serbia (Yugoslavia) - Civilians,Government of Serbia (Yugoslavia) - Civilians,Government of Serbia (Yugoslavia),Civilians,42.399444,20.654722,0
1999,3,Government of Serbia (Yugoslavia) - Civilians,Government of Serbia (Yugoslavia) - Civilians,Government of Serbia (Yugoslavia),Civilians,42.380278,20.430833,20
1991,2,Republic of Croatia - SAO Krajina,Republic of Croatia - SAO Krajina,Republic of Croatia,SAO Krajina,45.4375,16.29,1
1991,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,45.288333,18.804722,1
1991,2,"Republic of Croatia - SAO Eastern Slavonia, Baranja and Western Symria","Republic of Croatia - SAO Eastern Slavonia, Baranja and Western Symria",Republic of Croatia,"SAO Eastern Slavonia, Baranja and Western Symria",45.288333,18.804722,14
1992,2,Republic of Croatia - Serbian Republic of Krajina,Republic of Croatia - Serbian Republic of Krajina,Republic of Croatia,Serbian Republic of Krajina,45.288333,18.804722,3
1992,2,Republic of Croatia - Serbian Republic of Krajina,Republic of Croatia - Serbian Republic of Krajina,Republic of Croatia,Serbian Republic of Krajina,45.288333,18.804722,2
1998,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.708611,20.663333,3
1999,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.707778,22.063333,2
1999,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.583333,21.0,0
1999,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,44.832465,20.687828,3
1999,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.551389,21.900278,1
1999,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.551389,21.900278,0
1999,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.551389,21.900278,2
1999,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.561389,20.418056,0
1991,1,Serbia (Yugoslavia):Slovenia,Government of Serbia (Yugoslavia) - Republic of Slovenia,Government of Serbia (Yugoslavia),Republic of Slovenia,45.966111,14.295556,3
1991,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,45.343333,18.999722,101
1998,3,Government of Serbia (Yugoslavia) - Civilians,Government of Serbia (Yugoslavia) - Civilians,Government of Serbia (Yugoslavia),Civilians,42.666667,21.166667,0
1991,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,45.343333,18.999722,2
1991,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,45.343333,18.999722,3
1991,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,45.343333,18.999722,30
1991,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,45.343333,18.999722,547
1991,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,45.343333,18.999722,5
1992,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,44.119722,15.242222,3
1991,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,45.343333,18.999722,8
1991,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,45.343333,18.999722,9
1991,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,45.343333,18.999722,8
1991,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,45.343333,18.999722,7
1991,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,45.343333,18.999722,50
1991,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,45.343333,18.999722,47
1999,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.349722,20.570556,0
1998,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.653611,20.385278,0
1992,2,Republic of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina,Republic of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina,Republic of Bosnia-Herzegovina,Serbian Republic of Bosnia-Herzegovina,44.386944,19.101389,1
1999,3,Government of Serbia (Yugoslavia) - Civilians,Government of Serbia (Yugoslavia) - Civilians,Government of Serbia (Yugoslavia),Civilians,42.293072,20.674574,6
1999,3,Government of Serbia (Yugoslavia) - Civilians,Government of Serbia (Yugoslavia) - Civilians,Government of Serbia (Yugoslavia),Civilians,42.583333,21.0,6
